B00001,UNWEIGHTED SAMPLE COUNT OF THE POPULATION,,,,,,,,
B00001,dimensions,,,,,,,,
B00001,values,['Total '],,,,,,,
B13014,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced):', 'Now married (including separated and spouse absent):']","['', ""Bachelor's degree"", ""Some college or associate's degree"", 'Less than high school graduate', 'High school graduate (includes equivalency)', 'Graduate or professional degree']",,,,
B13015,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY MARITAL STATUS AND RECEIPT OF PUBLIC ASSISTANCE INCOME IN THE PAST 12 MONTHS,,,,,,,,
B13015,dimensions,,Births in last year,Marital Status,Public Assistance,,,,
B13015,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', 'Unmarried (never married, widowed and divorced):', 'Now married (including separated and spouse absent):']","['', 'Did not receive public assistance income', 'Received public assistance income']",,,,
B13016,WOMEN 15 TO 50 YEARS WHO HAD A BIRTH IN THE PAST 12 MONTHS BY AGE,,,,,,,,
B13016,dimensions,,Births in last year,Age,,,,,
B13016,values,['Total:'],"['Women who had a birth in the past 12 months:', 'Women who did not have a birth in the past 12 months:']","['', '40 to 44 years old', '15 to 19 years old', '30 to 34 years old', '45 to 50 years old', '25 to 29 years old', '20 to 24 years old', '35 to 39 years old']",,,,,
B14001,SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,,,,,,,,
B14001,dimensions,,School Enrollment,School Enrollment,,,,,
B14001,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['Enrolled in grade 5 to grade 8', '', 'Graduate or professional school', 'Enrolled in grade 9 to grade 12', 'Enrolled in college, undergraduate years', 'Enrolled in grade 1 to grade 4', 'Enrolled in nursery school, preschool', 'Enrolled in kindergarten']",,,,,
B14002,SEX BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL BY TYPE OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,,,,,,,,
B14002,dimensions,,Sex,School Enrollment,School Enrollment,School Enrollment,,,
B14002,values,['Total:'],"['Male:', 'Female:']","['', 'Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in kindergarten:', 'Enrolled in graduate or professional school:', 'Enrolled in grade 9 to grade 12:', 'Enrolled in grade 1 to grade 4:', 'Enrolled in nursery school, preschool:', 'Enrolled in college undergraduate years:', 'Enrolled in grade 5 to grade 8:']","['Public school', 'Private school', '']",,,
B14003,SEX BY SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 3 YEARS AND OVER,,,,,,,,
B14003,dimensions,,Sex,School Enrollment,Age,,,,
B14003,values,['Total:'],"['Male:', 'Female:']","['Enrolled in private school:', '', 'Enrolled in public school:', 'Not enrolled in school:']","['5 to 9 years ', '18 and 19 years ', '15 to 17 years ', '', '20 to 24 years ', '3 and 4 years ', '10 to 14 years ', '25 to 34 years ', '35 years and over ']",,,,
B14004,SEX BY COLLEGE OR GRADUATE SCHOOL ENROLLMENT BY TYPE OF SCHOOL BY AGE FOR THE POPULATION 15 YEARS AND OVER,,,,,,,,
B14004,dimensions,,Sex,School Enrollment,Age,,,,
B14004,values,['Total:'],"['Male:', 'Female:']","['', 'Enrolled in private college or graduate school:', 'Not enrolled in college or graduate school:', 'Enrolled in public college or graduate school:']","['18 to 24 years', '', '25 to 34 years', '35 years and over', '15 to 17 years']",,,,
B14005,SEX BY SCHOOL ENROLLMENT BY EDUCATIONAL ATTAINMENT BY EMPLOYMENT STATUS FOR THE POPULATION 16 TO 19 YEARS,,,,,,,,
B14005,dimensions,,Sex,School Enrollment,Labor Force Participation,Labor Force Participation,,,
B14005,values,['Total:'],"['Male:', 'Female:']","['', 'Enrolled in school:', 'Not enrolled in school:']","['', 'Not in labor force ', 'High school graduate (includes equivalency):', 'Not high school graduate:', 'Unemployed ', 'Employed ']","['', 'Employed ', 'Unemployed ', 'Not in labor force ']",,,
B14006,POVERTY STATUS IN THE PAST 12 MONTHS BY SCHOOL ENROLLMENT BY LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,,,,,,,,
B14006,dimensions,,Poverty Status,School Enrollment,School Enrollment,,,,
B14006,values,['Total:'],"['Income in the past 12 months at or above the poverty level:', 'Income in the past 12 months below the poverty level:']","['', 'Enrolled in school:', 'Not enrolled in school ']","['Enrolled in college undergraduate years ', '', 'Enrolled in nursery school, preschool ', 'Enrolled in grade 5 to grade 8 ', 'Enrolled in grade 1 to grade 4 ', 'Enrolled in graduate or professional school ', 'Enrolled in grade 9 to grade 12 ', 'Enrolled in kindergarten ']",,,,
B14007,SCHOOL ENROLLMENT BY DETAILED  LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER,,,,,,,,
B14007,dimensions,,School Enrollment,School Enrollment,,,,,
B14007,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B14007A,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER ,,,,,,,,
B14007A,dimensions,,School Enrollment,School Enrollment,,,,,
B14007A,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B14007B,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER ,,,,,,,,
B14007B,dimensions,,School Enrollment,School Enrollment,,,,,
B14007B,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B14007C,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER ,,,,,,,,
B14007C,dimensions,,School Enrollment,School Enrollment,,,,,
B14007C,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B14007D,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER ,,,,,,,,
B14007D,dimensions,,School Enrollment,School Enrollment,,,,,
B14007D,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B14007E,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER ,,,,,,,,
B14007E,dimensions,,School Enrollment,School Enrollment,,,,,
B14007E,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B14007F,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER ,,,,,,,,
B14007F,dimensions,,School Enrollment,School Enrollment,,,,,
B14007F,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B14007G,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER ,,,,,,,,
B14007G,dimensions,,School Enrollment,School Enrollment,,,,,
B14007G,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B14007H,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER ,,,,,,,,
B14007H,dimensions,,School Enrollment,School Enrollment,,,,,
B14007H,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B14007I,SCHOOL ENROLLMENT BY DETAILED LEVEL OF SCHOOL FOR THE POPULATION 3 YEARS AND OVER ,,,,,,,,
B14007I,dimensions,,School Enrollment,School Enrollment,,,,,
B14007I,values,['Total:'],"['Enrolled in school:', 'Not enrolled in school']","['', 'Enrolled in grade 10', 'Enrolled in grade 11', 'Enrolled in grade 12', 'Graduate or professional school', 'Enrolled in college, undergraduate years', 'Enrolled in grade 2', 'Enrolled in grade 3', 'Enrolled in nursery school, preschool', 'Enrolled in grade 1', 'Enrolled in grade 6', 'Enrolled in grade 7', 'Enrolled in grade 4', 'Enrolled in grade 5', 'Enrolled in kindergarten', 'Enrolled in grade 8', 'Enrolled in grade 9']",,,,,
B15001,SEX BY AGE BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 18 YEARS AND OVER,,,,,,,,
B15001,dimensions,,Sex,Age,Educational Attainment,,,,
B15001,values,['Total:'],"['Male:', 'Female:']","['35 to 44 years:', '', '65 years and over:', '45 to 64 years:', '25 to 34 years:', '18 to 24 years:']","['', ""Bachelor's degree"", 'Less than 9th grade', 'Some college, no degree', '9th to 12th grade, no diploma', ""Associate's degree"", 'High school graduate (includes equivalency)', 'Graduate or professional degree']",,,,
B15002,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,,,,,,,,
B15002,dimensions,,Sex,Educational Attainment,,,,,
B15002,values,['Total:'],"['Male:', 'Female:']","['5th and 6th grade', '', 'No schooling completed', ""Bachelor's degree"", '7th and 8th grade', 'Doctorate degree', ""Master's degree"", '11th grade', 'Nursery to 4th grade', 'Some college, 1 or more years, no degree', 'Some college, less than 1 year', ""Associate's degree"", '12th grade, no diploma', 'High school graduate (includes equivalency)', '10th grade', '9th grade', 'Professional school degree']",,,,,
B15003,EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER,,,,,,,,
B15003,dimensions,,Educational Attainment,,,,,,
B15003,values,['Total:'],"['Nursery school', 'Doctorate degree', 'Kindergarten', '8th grade', 'Some college, 1 or more years, no degree', '4th grade', 'GED or alternative credential', '6th grade', '5th grade', '2nd grade', '10th grade', '9th grade', '7th grade', 'No schooling completed', '3rd grade', '11th grade', ""Associate's degree"", '12th grade, no diploma', 'Regular high school diploma', 'Professional school degree', '1st grade', ""Master's degree"", 'Some college, less than 1 year', ""Bachelor's degree""]",,,,,,
C15002A,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER ,,,,,,,,
C15002A,dimensions,,Sex,Educational Attainment,,,,,
C15002A,values,['Total:'],"['Male:', 'Female:']","['', 'High school graduate (includes equivalency)', 'Less than high school diploma', ""Some college or associate's degree"", ""Bachelor's degree or higher""]",,,,,
C15002B,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER ,,,,,,,,
C15002B,dimensions,,Sex,Educational Attainment,,,,,
C15002B,values,['Total:'],"['Male:', 'Female:']","['', 'High school graduate (includes equivalency)', 'Less than high school diploma', ""Some college or associate's degree"", ""Bachelor's degree or higher""]",,,,,
C15002C,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER ,,,,,,,,
C15002C,dimensions,,Sex,Educational Attainment,,,,,
C15002C,values,['Total:'],"['Male:', 'Female:']","['', 'High school graduate (includes equivalency)', 'Less than high school diploma', ""Some college or associate's degree"", ""Bachelor's degree or higher""]",,,,,
C15002D,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER ,,,,,,,,
C15002D,dimensions,,Sex,Educational Attainment,,,,,
C15002D,values,['Total:'],"['Male:', 'Female:']","['', 'High school graduate (includes equivalency)', 'Less than high school diploma', ""Some college or associate's degree"", ""Bachelor's degree or higher""]",,,,,
C15002E,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER ,,,,,,,,
C15002E,dimensions,,Sex,Educational Attainment,,,,,
C15002E,values,['Total:'],"['Male:', 'Female:']","['', 'High school graduate (includes equivalency)', 'Less than high school diploma', ""Some college or associate's degree"", ""Bachelor's degree or higher""]",,,,,
C15002F,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER ,,,,,,,,
C15002F,dimensions,,Sex,Educational Attainment,,,,,
C15002F,values,['Total:'],"['Male:', 'Female:']","['', 'High school graduate (includes equivalency)', 'Less than high school diploma', ""Some college or associate's degree"", ""Bachelor's degree or higher""]",,,,,
C15002G,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER ,,,,,,,,
C15002G,dimensions,,Sex,Educational Attainment,,,,,
C15002G,values,['Total:'],"['Male:', 'Female:']","['', 'High school graduate (includes equivalency)', 'Less than high school diploma', ""Some college or associate's degree"", ""Bachelor's degree or higher""]",,,,,
C15002H,SEX BY EDUCATIONAL ATTAINMENT FOR THE POPULATION 25 YEARS AND OVER ,,,,,,,,
C15002H,dimensions,,Sex,Educational Attainment,,,,,
C15002H,values,['Total:'],"['Male:', 'Female:']","['', 'High school graduate (includes equivalency)', 'Less than high school diploma', ""Some college or associate's degree"", ""Bachelor's degree or higher""]",,,,,
